Unnamed: 0,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1702049269.719508,-879495,-1102363,-879495,-1102363,120.64873312488996,578.4205219212055,134.03184876096398,642.5825610131252,zMax,CMJ,double,both,0.0
1,1702049269.733703,-878959,-1102724,-878959,-1102724,120.58251443643591,578.1030527912407,134.07739204758707,642.8009070407728,zMax,CMJ,double,both,0.0141949653625488
2,1702049269.7479858,-878605,-1102755,-878605,-1102755,120.53878045189724,577.8933810151071,134.08130296693696,642.8196569766649,zMax,CMJ,double,both,0.0284779071807861
3,1702049269.762302,-878321,-1103078,-878321,-1103078,120.50369443040294,577.7251697596779,134.1220522233892,643.0150192119286,zMax,CMJ,double,both,0.0427939891815185
4,1702049269.7767758,-877095,-1103018,-877095,-1103018,120.35223153479724,576.9990183541985,134.1144827020668,642.9787290134275,zMax,CMJ,double,both,0.0572679042816162
5,1702049269.791281,-876096,-1103177,-876096,-1103177,120.22881274792114,576.4073174944318,134.13454193357114,643.0748980394551,zMax,CMJ,double,both,0.0717730522155761
6,1702049269.8057091,-875469,-1103370,-875469,-1103370,120.15135170750942,576.0359496875514,134.15889056049153,643.1916315113,zMax,CMJ,double,both,0.0862011909484863
7,1702049269.8196118,-875498,-1104546,-875498,-1104546,120.15493443505638,576.053126188986,134.30725317841046,643.902919401919,zMax,CMJ,double,both,0.1001038551330566
8,1702049269.833685,-875641,-1105236,-875641,-1105236,120.17260098813271,576.1378241098535,134.39430267361803,644.3202566846803,zMax,CMJ,double,both,0.1141769886016845
9,1702049269.8480551,-875620,-1105518,-875620,-1105518,120.17000659921942,576.1253859536422,134.42987942383328,644.4908206176349,zMax,CMJ,double,both,0.128547191619873
10,1702049269.862198,-875303,-1105934,-875303,-1105934,120.13084368086132,575.9376290241667,134.48236143833523,644.7424326605751,zMax,CMJ,double,both,0.1426901817321777
11,1702049269.8763678,-874700,-1106848,-874700,-1106848,120.05634765635054,575.5804762529561,134.59767047981305,645.2952533510733,zMax,CMJ,double,both,0.1568598747253418
12,1702049269.890531,-874035,-1107263,-874035,-1107263,119.974192007429,575.1866013062646,134.65002633562628,645.5462605573716,zMax,CMJ,double,both,0.1710231304168701
13,1702049269.904885,-874057,-1107839,-874057,-1107839,119.97690993867153,575.1996317556288,134.72269374032126,645.894646462981,zMax,CMJ,double,both,0.1853771209716797
14,1702049269.91902,-874347,-1108593,-874347,-1108593,120.01273721414108,575.3713967699755,134.81781739160604,646.35069329081,zMax,CMJ,double,both,0.1995120048522949
15,1702049269.9333289,-874317,-1109316,-874317,-1109316,120.00903094426492,575.3536279753879,134.9090301235409,646.7879901827467,zMax,CMJ,double,both,0.2138209342956543
16,1702049269.9477382,-874231,-1108859,-874231,-1108859,119.99840630395325,575.3026907642368,134.851375602802,646.5115798374976,zMax,CMJ,double,both,0.2282302379608154
17,1702049269.961658,-873996,-1108088,-873996,-1108088,119.96937385659,575.1635018733008,134.75410725380922,646.0452507867601,zMax,CMJ,double,both,0.242150068283081
18,1702049269.9759,-872971,-1105847,-872971,-1105847,119.84274296915456,574.5564013915582,134.47138563241774,644.6898118727486,zMax,CMJ,double,both,0.2563920021057129
19,1702049269.990162,-871206,-1104794,-871206,-1104794,119.6246907581072,573.5110039766552,134.3385405332097,644.0529188890565,zMax,CMJ,double,both,0.2706539630889892
20,1702049270.004448,-870966,-1104295,-870966,-1104295,119.59504059909794,573.3688536199545,134.27558734754513,643.7511054048567,zMax,CMJ,double,both,0.2849400043487549
21,1702049270.019638,-870986,-1104353,-871273,-1104353,119.63296809416396,573.5506876179008,134.2829045514901,643.7861859300743,zMax,CMJ,double,both,0.3001301288604736
22,1702049270.031456,-101,-1105245,-871581,-1105245,119.6710191315592,573.7331139089999,134.39543810181638,644.3257002144554,zMax,CMJ,double,both,0.3119480609893799
23,1702049270.0458171,-872081,-1105688,-871888,-1105688,119.70894662662522,573.9149479069463,134.4513264009134,644.593642846721,zMax,CMJ,double,both,0.3263092041015625
24,1702049270.059952,-872196,-1106065,-872196,-1106065,119.74699766402044,574.0973741980455,134.49888822655578,644.8216662606354,zMax,CMJ,double,both,0.3404440879821777
25,1702049270.074271,-872502,-1106952,-872502,-1106952,119.78480161675728,574.2786159028389,134.61079098343853,645.3581563618083,zMax,CMJ,double,both,0.3547630310058594
26,1702049270.0885608,-872817,-1108814,-872817,-1108814,119.82371745045695,574.4651882460086,134.8456984618102,646.484362188622,zMax,CMJ,double,both,0.3690528869628906
27,1702049270.102758,-874425,-1109130,-874425,-1109130,120.02237351581908,575.4175956359032,134.8855646074415,646.6754905673938,zMax,CMJ,double,both,0.3832499980926513
28,1702049270.116999,-875141,-1109029,-875141,-1109029,120.11082982353008,575.8416775333937,134.87282257988213,646.6144020665838,zMax,CMJ,double,both,0.3974909782409668
29,1702049270.131242,-875782,-1108276,-875782,-1108276,120.19002045655068,576.2213374444151,134.77782508728606,646.1589600753965,zMax,CMJ,double,both,0.4117341041564941
30,1702049270.145847,-875548,-1107644,-875548,-1107644,120.16111155151664,576.082740846632,134.6980927960235,645.7767033178529,zMax,CMJ,double,both,0.4263391494750976
31,1702049270.1604831,-875146,-1107094,-875146,-1107094,120.11144753517613,575.8446389991583,134.62870551723486,645.4440431649273,zMax,CMJ,double,both,0.4409751892089844
32,1702049270.174479,-875071,-1105957,-875071,-1105957,120.1021818604857,575.8002170126892,134.4852630881755,644.7563439033338,zMax,CMJ,double,both,0.4549710750579834
33,1702049270.188492,-875285,-1104663,-875285,-1104663,120.12861991893564,575.9269677474141,134.32201374498914,643.973685288996,zMax,CMJ,double,both,0.4689841270446777
34,1702049270.258637,-875371,-1103702,-875371,-1103702,120.1392445592473,575.9779049585652,134.20077524514213,643.3924372763387,zMax,CMJ,double,both,0.5391290187835693
35,1702049270.258722,-875413,-1103319,-875413,-1103319,120.14443333707392,576.0027812709878,134.1524564673675,643.1607848425741,zMax,CMJ,double,both,0.5392141342163086
36,1702049270.258804,-875228,-1103464,-875228,-1103464,120.12157800617094,575.8932070376976,134.17074947722995,643.2484861556181,zMax,CMJ,double,both,0.5392961502075195
37,1702049270.258886,-875007,-1103694,-875007,-1103694,120.09427515141655,575.7623102509025,134.19976597563246,643.3875985832052,zMax,CMJ,double,both,0.5393779277801514
