Unnamed: 0,Timestamp,s1,s2,s1_clean,s2_clean,l_force_lbs,l_force_N,r_force_lbs,r_force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1702052885.725039,-382400,-537619,-382400,-537619,57.77052611359444,276.96650433699614,58.5988521781115,280.93770885899414,zSophia,CMJ,double,both,0.0
1,1702052885.739389,-382876,-537903,-382876,-537903,57.82767148613985,277.2404736971127,58.63419274796575,281.10714048360086,zSophia,CMJ,double,both,0.0143499374389648
2,1702052885.753817,-383291,-538081,-383291,-538081,57.87749360716158,277.47933353839073,58.656342823437775,281.21333354409376,zSophia,CMJ,double,both,0.028778076171875
3,1702052885.76821,-383315,-538225,-383315,-538225,57.88037488644958,277.49314711957305,58.67426198561739,281.29924253685203,zSophia,CMJ,double,both,0.0431709289550781
4,1702052885.782698,-383029,-538338,-383029,-538338,57.84603964160087,277.3285352771501,58.68832355038335,281.3666572325582,zSophia,CMJ,double,both,0.0576589107513427
5,1702052885.797149,-382554,-538513,-382554,-538513,57.78901432235913,277.05514148291616,58.71010030997663,281.47106052236865,zSophia,CMJ,double,both,0.0721099376678466
6,1702052885.811556,-382203,-539823,-382203,-539823,57.74687561277207,276.85311785812434,58.87311491036064,282.25259372037823,zSophia,CMJ,double,both,0.0865170955657959
7,1702052885.825909,-382534,-540227,-382534,-540227,57.78661325628579,277.04363016526423,58.92338811536457,282.49361617228345,zSophia,CMJ,double,both,0.1008698940277099
8,1702052885.840265,-382394,-540047,-382394,-540047,57.769805793772434,276.96305094170054,58.90098916264005,282.3862299313356,zSophia,CMJ,double,both,0.1152260303497314
9,1702052885.8564749,-382174,-539615,-382174,-539615,57.743394066965735,276.83642644752905,58.8472316761012,282.12850295306066,zSophia,CMJ,double,both,0.1314358711242675
10,1702052885.868505,-382336,-539492,-382336,-539492,57.76284270215976,276.92966812050986,58.83192572507277,282.0551223550796,zSophia,CMJ,double,both,0.1434659957885742
11,1702052885.8827531,-382915,-539290,-382915,-539290,57.83235356498285,277.262920766534,58.80678912257081,281.934611129127,zSophia,CMJ,double,both,0.1577141284942627
12,1702052885.897117,-383032,-537522,-383032,-537522,57.84639980151187,277.3302619747979,58.58678163136551,280.8798396069278,zSophia,CMJ,double,both,0.1720778942108154
13,1702052885.9113758,-382359,-536219,-382359,-536219,57.765603928144095,276.9429061358096,58.424638101365225,280.10248254051066,zSophia,CMJ,double,both,0.1863367557525634
14,1702052885.925709,-381770,-535562,-381770,-535562,57.694892532284335,276.6038978309595,58.34288192392072,279.71052276105087,zSophia,CMJ,double,both,0.2006700038909912
15,1702052885.940025,-381495,-535366,-381495,-535366,57.66187787377596,276.4456172132451,58.31849195317624,279.5935910764632,zSophia,CMJ,double,both,0.2149860858917236
16,1702052885.954421,-381430,-535643,-381430,-535643,57.65407440903761,276.40820543087625,58.35296145264675,279.7588465694774,zSophia,CMJ,double,both,0.229382038116455
17,1702052885.968776,-382145,-535636,-382145,-535636,57.7399125211594,276.8197350369337,58.35209038226302,279.754670437885,zSophia,CMJ,double,both,0.243736982345581
18,1702052885.98314,-382381,-535711,-382381,-535711,57.76824510082477,276.9555685852268,58.36142327923157,279.7994147049466,zSophia,CMJ,double,both,0.2581009864807129
19,1702052885.997406,-382458,-536373,-382458,-536373,57.77748920520711,276.9998871581868,58.44380164980731,280.19435743554385,zSophia,CMJ,double,both,0.272367000579834
20,1702052886.011731,-383527,-536943,-383527,-536943,57.90582618682695,277.6151670866838,58.5147316667683,280.5344138652121,zSophia,CMJ,double,both,0.2866919040679931
21,1702052886.026125,-383833,-537621,-383833,-537621,57.942562497749,277.7912902467588,58.599101055364,280.93890203944915,zSophia,CMJ,double,both,0.3010859489440918
22,1702052886.040511,-384001,-538288,-384001,-538288,57.96273145276503,277.8879853150352,58.68210161907098,281.3368277211838,zSophia,CMJ,double,both,0.315471887588501
23,1702052886.0547478,-383981,-539755,-383981,-539755,57.96033038669169,277.8764739973832,58.86465308377583,282.21202558490904,zSophia,CMJ,double,both,0.3297088146209717
